식별번호,성별,나이,우편번호,가입기간,대출건수,문의건수,보유계좌수,연체금액,대출금액,예금잔액,적금잔액
89005081,1,32,31482,9,2,6,1,0,33,53,63
26046677,2,61,37783,12,4,6,1,79,33,29,39
59006313,1,61,31243,11,3,8,5,61,247,26,126
87092172,2,30,38891,12,5,8,2,47,170,27,73
90680050,2,39,16488,15,7,7,1,0,111,108,162
61782751,2,58,15352,10,3,10,15,163,402,44,364
56052432,1,61,10354,13,6,8,1,0,88,23,118
84071735,1,39,54572,10,3,7,7,0,461,32,55
63823496,2,42,25920,15,5,12,1,0,260,24,190
40245698,1,59,17074,11,3,9,5,71,105,52,261
14931818,2,31,33672,11,4,8,1,29,173,47,73
57020864,2,39,22739,13,5,9,1,0,426,90,219
50426037,1,57,50916,14,5,9,1,0,674,42,221
16424742,1,52,13207,13,4,11,2,0,107,26,222
15470894,1,28,13272,11,3,5,9,115,33,20,30
66659445,2,39,39914,11,3,8,1,23,58,24,153
66385708,2,66,38911,15,5,5,1,173,33,20,30
68463484,2,62,55356,11,3,9,2,73,119,22,235
98343573,1,44,15066,9,2,8,1,0,33,46,81
41436216,2,53,16898,11,3,9,2,0,203,27,297
11791113,2,56,34899,10,3,8,4,53,186,111,361
97405330,1,40,31163,9,2,6,1,0,33,21,31
78192276,1,76,12522,10,3,6,3,43,33,88,98
38328032,2,43,11144,10,3,11,7,83,334,68,163
62353773,1,31,08626,10,3,5,4,0,33,20,30
10412220,1,42,56039,10,3,9,3,0,157,22,201
93493615,2,29,61932,11,4,7,2,0,134,34,104
34562687,1,42,04527,13,6,7,2,0,119,77,127
72829230,1,27,25376,14,7,6,1,97,33,72,82
56728939,1,24,03330,11,4,6,1,73,33,34,44
55949607,2,49,38680,10,3,10,4,0,156,41,247
84927632,2,85,36031,10,3,5,5,0,33,20,30
82171085,1,78,14237,10,3,6,7,0,33,126,136
40662744,2,41,16444,12,5,8,1,0,127,60,130
18180400,1,25,61962,9,2,6,1,0,33,29,39
76906588,1,36,16334,10,3,8,2,0,235,22,196
49749283,2,39,06017,12,5,9,1,47,91,22,141
40150208,2,58,52431,13,4,5,3,0,33,20,30
18843253,1,46,13365,10,3,9,8,85,87,38,224
58256790,2,56,39258,11,4,13,3,0,113,70,218
45585625,1,53,10401,14,6,10,2,0,97,28,290
67696203,2,67,37915,10,3,7,1,23,55,23,65
62303068,1,38,28397,11,4,7,2,73,143,75,251
17099691,2,69,11918,11,3,7,2,29,87,29,232
70138633,1,50,06572,11,3,8,5,0,69,109,281
48535870,2,32,18435,12,5,7,1,0,142,39,102
43451702,2,45,24824,13,5,11,1,67,189,22,219
91190688,2,63,03121,13,3,9,4,0,98,74,240
80447274,2,44,18454,10,3,7,4,47,287,35,285
99150332,2,64,17079,13,6,7,2,0,494,68,311
12212713,2,56,56327,12,3,8,5,0,610,39,107
82413557,2,68,39185,11,3,8,3,79,84,48,122
41084963,2,39,61008,10,3,9,3,37,43,32,167
73786943,1,39,17369,10,3,8,5,0,191,67,216
51685433,1,61,21543,17,7,10,1,65,122,48,254
15060626,2,50,42981,15,7,8,2,0,148,106,214
44317230,2,60,42718,12,3,6,3,0,33,63,73
79141494,1,36,56160,13,5,12,1,0,90,37,148
87963103,1,39,31129,10,3,8,14,0,70,93,187
21252071,1,43,04533,17,8,11,1,73,190,64,250
53138061,1,87,41935,10,3,5,13,0,33,20,30
80950268,1,38,03162,10,3,9,3,0,153,52,208
91966657,2,45,17027,11,4,9,1,0,193,66,190
15855850,2,56,54379,11,4,10,2,43,652,28,255
54775324,1,55,32903,11,3,6,5,0,33,88,98
60692773,1,44,15541,10,3,11,7,0,198,60,261
50427101,1,58,49419,10,3,7,9,101,797,96,167
64669474,1,41,37738,11,4,9,4,0,208,45,185
75662009,2,37,13506,10,3,7,3,41,83,118,128
17179852,2,28,34401,12,5,8,1,0,117,25,68
67395118,1,52,17912,11,4,6,2,0,33,109,119
49864877,2,32,50611,10,3,6,5,55,33,52,62
29978075,1,46,31770,10,3,8,6,67,36,52,211
16663832,1,66,42196,10,3,6,3,0,33,166,176
84690531,1,56,50983,10,3,9,4,0,33,43,126
50272042,2,80,10232,10,3,6,1,0,33,347,357
55952659,2,50,04534,12,5,7,1,0,33,193,303
74759714,2,58,42478,11,4,10,1,47,192,37,140
21689969,2,76,15421,9,2,9,1,0,33,52,278
85816185,1,49,11757,11,4,11,2,0,33,59,230
57315715,1,46,30130,9,2,6,1,0,33,72,82
44936854,1,42,11350,11,4,7,1,43,33,67,237
91935316,2,52,61466,11,4,8,3,0,136,32,212
36666826,1,30,17826,13,6,9,1,31,837,32,88
45669622,2,38,13376,18,8,7,1,55,94,54,129
87790163,1,66,63640,11,4,6,2,0,33,197,207
43288837,2,60,13272,11,4,7,2,0,220,140,324
34824124,1,72,02717,11,4,6,3,0,33,156,166
98858676,1,43,17418,13,5,10,1,55,365,24,218
24479299,2,61,31982,11,3,8,9,0,153,47,424
74964908,2,62,11692,12,3,7,2,0,87,187,311
25570840,2,41,54386,13,5,8,2,0,236,37,111
71396841,1,40,62430,12,4,8,1,0,62,21,102
61913129,1,47,44254,10,3,7,6,0,54,37,197
15115799,1,48,16616,11,3,8,2,0,40,64,156
21228312,1,22,39196,9,2,5,1,0,33,20,30
36120686,2,39,18399,14,5,7,1,0,51,51,64
20571390,1,69,23050,9,2,7,1,0,37,65,207
30021137,2,43,06572,13,4,10,3,0,1651,68,158
93415164,2,53,50920,15,7,8,2,49,62,45,103
38581731,2,52,37783,10,3,7,6,0,175,165,334
19179246,2,48,13919,13,4,8,2,0,73,29,116
70080708,1,49,11456,11,3,9,2,0,104,33,199
13894944,1,47,54637,10,3,8,13,0,160,74,193
73872199,2,29,08506,9,2,6,1,0,33,67,77
16772745,2,42,53067,11,3,5,5,0,33,20,30
54181455,2,37,04534,13,6,6,5,0,33,186,196
31068640,1,67,58125,11,3,6,3,0,33,39,49
84037706,2,84,50427,10,3,7,9,95,139,195,296
48640803,2,59,16713,16,8,8,1,55,33,25,199
50247839,2,48,32164,11,4,6,1,0,33,115,125
56802760,2,63,22556,10,3,8,1,0,136,36,182
50724951,1,48,06956,11,4,13,4,49,280,97,274
51153700,2,59,50819,16,7,9,1,0,123,62,206
81636251,2,45,10842,10,3,8,5,0,376,84,212
13474814,2,47,06088,22,9,11,1,0,462,105,211
13448037,1,39,63085,10,3,8,1,0,217,37,153
24003630,2,47,17774,10,3,5,6,0,33,20,30
15893509,1,33,04196,11,3,9,2,0,237,65,120
56050948,2,34,03302,11,4,9,2,0,101,42,93
57359938,1,68,36671,10,3,6,1,0,33,83,93
91227096,2,32,21995,12,5,6,2,0,33,54,64
97036388,2,26,33229,11,3,7,2,0,168,23,46
50427674,2,43,36325,10,3,5,3,41,33,20,30
31309305,1,46,07331,12,5,7,1,79,127,33,283
94512959,2,40,13492,16,8,11,1,0,400,28,147
71167518,1,38,52828,10,3,8,4,0,133,25,117
83555892,2,46,06164,11,4,9,1,0,181,23,118
17017679,2,53,42620,12,4,7,2,0,63,31,134
99618512,2,43,52852,14,7,8,1,0,142,45,136
62713443,1,48,58132,10,3,10,2,0,643,28,120
13811966,2,40,15079,11,4,6,5,0,48,201,211
77314639,2,63,04586,12,5,7,2,95,147,134,307
14419949,1,23,21419,11,4,7,1,61,260,24,43
36372469,1,26,10386,11,4,5,5,97,33,20,30
91034659,1,59,59676,11,3,9,3,0,121,82,206
16428612,2,39,07242,11,4,7,2,0,176,129,150
35238891,2,66,32204,11,3,6,6,0,33,94,104
29892323,1,39,05269,10,3,7,5,0,184,183,197
73344194,1,48,28399,12,5,7,1,0,165,72,130
95103728,2,51,55447,10,3,10,3,0,181,27,258
53903145,1,45,38627,10,3,8,1,29,586,32,113
34977747,2,56,07010,13,5,7,1,0,217,54,269
11881563,2,74,52943,9,2,7,1,0,33,67,86
64230374,2,43,28545,11,3,9,4,0,144,22,203
87581872,2,54,16024,12,4,5,3,47,33,20,30
58028232,2,47,22382,13,5,11,2,0,1779,33,237
36905593,2,54,03171,13,5,10,1,0,208,48,331
53469765,2,32,27388,9,2,6,1,0,33,24,34
99975181,2,27,12555,10,3,6,3,41,33,82,92
48543350,2,58,41926,11,4,6,2,0,33,267,277
25487506,1,42,34630,10,3,8,2,29,90,145,265
20146719,2,80,02238,11,3,5,3,0,33,20,30
34506854,2,43,21525,11,4,8,1,0,126,26,52
46486346,2,71,48744,10,3,9,8,0,180,155,267
96851623,2,61,10110,13,4,9,3,0,169,28,267
88880195,2,39,44690,15,8,10,1,0,269,34,171
57497538,1,43,28542,10,3,7,2,0,149,75,111
60561377,2,86,59348,10,3,5,7,77,33,20,30
45465294,2,38,48499,12,5,7,2,65,169,90,207
66348341,2,47,04534,11,4,5,3,0,33,20,30
59618453,1,35,42147,11,4,6,2,53,33,69,79
31560540,2,56,08636,13,5,6,2,0,41,40,50
24789581,2,56,58914,11,3,7,3,0,33,41,195
35255281,2,51,02165,12,4,9,1,0,343,34,75
24624259,2,75,56402,10,3,6,1,23,33,69,79
27428786,1,49,42760,10,3,5,5,0,33,20,30
22596283,1,60,46702,13,4,8,1,0,278,28,99
22403502,1,49,63099,10,3,10,2,0,1126,49,273
72033300,1,63,58165,11,3,6,1,0,33,24,34
58326389,1,55,11505,12,4,8,2,0,243,63,106
77051197,1,47,57967,12,4,11,1,0,647,32,217
95107455,2,59,10463,12,5,8,1,0,79,110,258
15100340,2,62,10880,12,4,8,1,0,673,32,186
27035715,2,41,24717,12,3,9,2,0,354,81,202
52642058,2,60,51670,11,4,6,2,83,33,318,328
24215139,2,40,55082,12,5,8,1,79,211,44,203
37737133,1,39,03473,12,5,9,1,0,235,28,204
82527420,1,55,41866,12,4,7,2,0,52,28,51
48205525,2,54,61463,11,4,11,1,0,587,42,212
35088501,1,46,58909,15,8,6,1,0,33,33,43
55862999,2,62,34177,11,3,8,2,0,41,58,159
62099058,1,36,22173,12,5,13,2,0,290,33,118
84156239,2,60,23035,10,3,5,1,23,33,20,30
72427316,2,59,05411,10,3,7,16,0,141,200,263
26200658,2,55,21954,12,5,5,8,193,33,20,30
37591785,2,35,21930,9,2,8,1,0,154,30,127
36558547,2,67,39887,10,3,5,1,23,33,20,30
88143709,2,62,26415,10,3,11,4,0,183,102,277
16372268,2,51,04352,12,5,10,1,0,270,88,293
61312201,1,48,41146,11,4,6,1,0,33,96,106
99910755,1,50,54951,11,4,10,1,0,210,28,75
54330484,2,39,57044,9,2,10,1,0,408,29,200
30671906,2,42,05408,11,3,8,1,35,100,35,176
93021217,2,44,61979,16,9,9,1,0,152,36,166
32529146,2,67,54933,13,4,6,2,0,33,181,191
71068232,2,57,10510,11,4,6,2,0,33,29,39
35363620,2,61,17757,11,4,9,2,0,110,31,417
78312802,2,48,50629,10,3,6,5,59,33,215,225
49761888,2,50,42122,15,6,5,1,0,33,20,30
56454592,2,48,05657,11,3,9,1,121,441,48,273
97245788,1,64,13305,12,5,8,2,0,179,31,286
12429886,1,37,38618,12,5,6,2,29,33,53,63
82792619,2,73,25539,10,3,5,16,0,33,20,30
51126495,2,54,61915,11,4,8,1,59,122,22,130
81406171,1,41,18435,13,6,9,1,67,333,28,204
71072051,1,35,03330,9,2,10,1,0,54,27,194
40430915,1,47,07741,11,4,6,3,47,33,258,268
93201010,1,56,41913,10,3,11,17,179,126,21,37
96740488,2,32,32221,10,3,7,6,0,52,69,81
12170968,2,32,18143,13,6,6,1,29,33,90,100
39815252,2,71,05329,10,3,7,2,61,334,61,127
66369871,1,69,05663,10,3,8,8,0,105,158,211
52130298,1,33,27634,12,5,6,1,35,33,30,40
22133412,1,55,46576,11,3,10,1,0,191,22,205
87824780,2,74,36935,13,6,9,1,47,33,34,265
69092354,2,43,04371,9,2,6,1,0,33,101,111
14553919,2,32,07071,10,3,6,1,53,33,77,87
93214046,2,33,29145,9,2,5,1,0,33,20,30
46745519,2,41,21655,10,3,6,1,0,33,141,151
24488445,2,58,63000,13,6,6,3,0,33,100,110
94714833,2,39,37904,11,3,6,2,0,33,31,41
53376157,1,30,22736,10,3,9,1,0,273,23,88
67077321,2,78,12418,11,3,6,5,0,33,46,56
56797801,2,34,48308,9,2,7,1,0,87,29,63
89548914,2,44,10895,10,3,7,4,0,432,40,140
65097578,2,57,18139,14,5,9,1,73,115,73,354
52318029,2,31,37676,10,3,7,3,0,60,43,84
55765308,2,30,14437,10,3,6,2,0,33,33,43
21465930,2,50,10129,11,4,8,2,0,231,42,99
96215226,1,46,14437,11,4,9,2,0,237,33,214
93931146,2,41,46023,14,5,9,1,47,258,33,118
72787204,1,53,13591,10,3,12,6,0,493,29,221
10912066,2,36,39301,11,4,7,3,0,603,79,166
92803465,2,55,12055,10,3,7,3,0,64,26,99
15453747,2,77,10930,9,2,5,1,0,33,20,30
20085969,1,40,41261,10,3,7,4,0,229,63,86
56421793,2,70,22186,11,4,7,3,0,64,190,241
20547560,2,68,37220,11,3,8,1,0,35,27,154
22189926,2,47,01175,10,3,8,3,0,82,59,203
55863874,2,41,07544,13,6,11,1,0,490,22,224
23205889,1,44,57004,10,3,6,3,41,33,78,88
88717976,1,38,03189,10,3,9,3,0,203,37,205
42936864,2,59,22186,10,3,6,1,23,33,127,137
65555491,1,49,57715,10,3,6,1,0,33,31,41
